iso3,country,tier,score,I.1_status,I.2_status,I.3_status,I.4_status,I.5_status,I.6_status,I.7_status,I.8_status,II.1_status,II.2_status,II.3_status,II.4_status,II.5_status,III.1_status,III.2_status,III.3_status,III.4_status,IV.1_status,IV.2_status,V.1_status,V.2_status,V.3_status,VI.1_status,notes
GBR,United Kingdom,A,93,9 · city-ready,9 · city-ready,12 · city-ready,13 · city-ready,5 · city-ready,missing,1 · needs downscaling (state),6 · city-ready,11 · city-ready,5 · city-ready,5 · needs downscaling (state),5 · facility,3 · facility,9 · city-ready,3 · city-ready,4 · city-ready,6 · city-ready,7 · city-ready,4 · city-ready,6 · city-ready,9 · city-ready,5 · city-ready,3 · city-ready,Official LA GHG for every authority; strongest city-ready stack
CAN,Canada,A,86,9 · city-ready,8 · city-ready,12 · city-ready,11 · city-ready,3 · needs downscaling (state),missing,1 · needs downscaling (state),5 · facility,10 · city-ready,3 · city-ready,4 · needs downscaling (state),4 · facility,2 · facility,8 · city-ready,2 · facility,3 · facility,5 · city-ready,6 · city-ready,3 · city-ready,4 · needs downscaling (state),7 · city-ready,4 · needs downscaling (state),2 · needs downscaling (national),Open facility GHGRP + mature city inventories
AUS,Australia,A,82,10 · city-ready,9 · city-ready,13 · city-ready,14 · city-ready,4 · needs downscaling (state),missing,2 · needs downscaling (state),7 · facility,11 · city-ready,6 · city-ready,6 · needs downscaling (state),6 · needs downscaling (state),4 · facility,9 · city-ready,3 · city-ready,4 · city-ready,7 · city-ready,8 · city-ready,5 · needs downscaling (state),5 · needs downscaling (state),8 · needs downscaling (state),5 · needs downscaling (state),3 · needs downscaling (state),NGER/Safeguard + Snapshot LGA coverage
CRI,Costa Rica,B,74,10 · city-ready,10 · city-ready,11 · city-ready,10 · city-ready,4 · city-ready,missing,missing,2 · needs downscaling (national),11 · city-ready,4 · city-ready,5 · facility,6 · city-ready,2 · city-ready,7 · city-ready,2 · city-ready,2 · city-ready,4 · city-ready,6 · city-ready,3 · city-ready,6 · city-ready,8 · city-ready,4 · needs downscaling (state),2 · city-ready,PPCN cantonal GPC program + open fuel/power regulators
ARG,Argentina,B,68,11 · city-ready,11 · city-ready,12 · city-ready,11 · city-ready,4 · mixed,missing,2 · mixed,7 · city-ready,11 · city-ready,4 · city-ready,5 · mixed,5 · facility,3 · facility,8 · city-ready,5 · city-ready,3 · mixed,5 · city-ready,4 · mixed,3 · mixed,5 · mixed,7 · mixed,5 · mixed,1 · needs downscaling (national),Provincial INGEI allocation + CABA GPC; weak outside AMBA
MEX,Mexico,B,64,11 · city-ready,11 · city-ready,13 · city-ready,15 · city-ready,3 · city-ready,missing,1 · needs downscaling (national),7 · facility,12 · city-ready,4 · city-ready,4 · facility,4 · facility,3 · facility,9 · city-ready,3 · city-ready,3 · city-ready,6 · city-ready,5 · city-ready,4 · city-ready,6 · city-ready,6 · city-ready,4 · city-ready,2 · needs downscaling (national),INEGyCEI + ZMVM; RENE microdata not open
PHL,Philippines,B,60,10 · city-ready,6 · city-ready,10 · city-ready,7 · needs downscaling (state),3 · needs downscaling (state),missing,3 · mixed,3 · needs downscaling (national),8 · city-ready,3 · city-ready,4 · facility,4 · facility,2 · needs downscaling (national),6 · city-ready,2 · needs downscaling (state),2 · needs downscaling (state),4 · city-ready,5 · needs downscaling (national),1 · needs downscaling (national),6 · needs downscaling (state),7 · needs downscaling (state),5 · needs downscaling (state),1 · needs downscaling (state),DOE/ports + city inventories; VKT/waste/F-gases weak
MAR,Morocco,C,50,11 · mixed,10 · mixed,11 · mixed,10 · mixed,5 · needs downscaling (state),missing,1 · needs downscaling (national),2 · needs downscaling (national),11 · needs downscaling (state),3 · needs downscaling (national),5 · facility,4 · facility,1 · needs downscaling (national),5 · needs downscaling (state),1 · needs downscaling (national),1 · needs downscaling (national),5 · facility,5 · needs downscaling (national),1 · needs downscaling (national),6 · needs downscaling (state),7 · needs downscaling (national),6 · needs downscaling (state),2 · needs downscaling (state),Solid national/operators; thin city meters/VKT/waste
ETH,Ethiopia,C,45,10 · city-ready,5 · city-ready,8 · city-ready,11 · city-ready,6 · needs downscaling (state),missing,missing,1 · needs downscaling (national),8 · city-ready,4 · city-ready,missing,5 · city-ready,1 · needs downscaling (national),6 · city-ready,2 · city-ready,2 · city-ready,4 · city-ready,6 · city-ready,1 · needs downscaling (national),8 · city-ready,10 · city-ready,9 · needs downscaling (state),4 · needs downscaling (state),Strong AFOLU; weak city retail energy/transport/waste
