iso3,country,tier,score,CCRA-001_status,CCRA-002_status,CCRA-003_status,CCRA-004_status,CCRA-005_status,CCRA-006_status,CCRA-007_status,CCRA-008_status,CCRA-009_status,CCRA-010_status,CCRA-011_status,CCRA-012_status,CCRA-013_status,CCRA-014_status,CCRA-015_status,CCRA-016_status,CCRA-017_status,CCRA-018_status,CCRA-019_status,CCRA-020_status,CCRA-021_status,CCRA-022_status,CCRA-023_status,CCRA-024_status,CCRA-025_status,CCRA-026_status,CCRA-027_status,CCRA-028_status,CCRA-029_status,CCRA-030_status,CCRA-031_status,CCRA-032_status,CCRA-033_status,CCRA-034_status,CCRA-035_status,CCRA-036_status,CCRA-037_status,CCRA-038_status,CCRA-039_status,CCRA-040_status,CCRA-041_status,notes
GBR,United Kingdom,A,94,3 · city-ready,2 · mixed,1 · facility,1 · facility,2 · city-ready,1 · city-ready,1 · facility,1 · facility,1 · city-ready,4 · city-ready,10 · city-ready,1 · facility,1 · city-ready,1 · city-ready,3 · city-ready,1 · facility,13 · city-ready,1 · city-ready,2 · mixed,3 · city-ready,1 · needs downscaling (national),4 · city-ready,5 · city-ready,3 · city-ready,3 · city-ready,6 · city-ready,1 · city-ready,7 · city-ready,4 · city-ready,1 · city-ready,1 · facility,1 · facility,2 · city-ready,1 · facility,3 · city-ready,3 · city-ready,2 · city-ready,5 · city-ready,missing (proxies:2),1 · city-ready,1 · mixed,EA NaFRA/RoFRS/RoFSW + ONS/IMD LSOA + UKCP18; strongest flood+CC + fuel poverty
MEX,Mexico,A,91,3 · city-ready,2 · needs downscaling (state),1 · needs downscaling (state),1 · needs downscaling (state),2 · city-ready,1 · city-ready,1 · facility,1 · needs downscaling (state),2 · mixed,3 · mixed,8 · mixed,1 · needs downscaling (state),1 · city-ready,1 · city-ready,3 · city-ready,1 · facility,10 · mixed,1 · city-ready,2 · mixed,3 · city-ready,1 · needs downscaling (national),3 · city-ready,4 · city-ready,2 · city-ready,2 · city-ready,5 · city-ready,1 · city-ready,6 · city-ready,2 · mixed,1 · facility,1 · facility,1 · facility,2 · city-ready,1 · facility,2 · mixed,3 · mixed,2 · city-ready,4 · city-ready,missing,1 · city-ready,2 · mixed,INEGI AGEB/manzana + CONEVAL GRS + CENAPRED ANR national flood & landslide
PHL,Philippines,A,90,5 · mixed,2 · needs downscaling (state),1 · needs downscaling (state),3 · mixed,2 · city-ready,1 · city-ready,1 · needs downscaling (state),2 · mixed,1 · mixed,2 · mixed,9 · city-ready,1 · needs downscaling (state),2 · city-ready,1 · city-ready,4 · mixed,3 · mixed,13 · mixed,2 · mixed,3 · mixed,2 · city-ready,1 · needs downscaling (national),5 · city-ready,7 · city-ready,3 · mixed,3 · mixed,5 · city-ready,2 · city-ready,9 · mixed,4 · city-ready,1 · facility,1 · facility,1 · facility,2 · city-ready,1 · facility,2 · city-ready,2 · mixed,3 · mixed,5 · city-ready,missing (proxies:1),1 · city-ready,2 · city-ready,PSA barangay census + Project NOAH + PAGASA CliMap — strongest of early set
AUS,Australia,A,88,3 · city-ready,2 · mixed,1 · city-ready,1 · city-ready,2 · city-ready,1 · city-ready,1 · facility,1 · city-ready,2 · mixed,3 · mixed,9 · mixed,1 · city-ready,1 · city-ready,1 · city-ready,3 · city-ready,1 · facility,11 · mixed,1 · city-ready,2 · city-ready,3 · city-ready,1 · needs downscaling (national),4 · mixed,5 · mixed,3 · city-ready,3 · city-ready,5 · city-ready,1 · city-ready,6 · city-ready,2 · mixed,1 · facility,1 · facility,1 · facility,2 · city-ready,1 · facility,2 · mixed,3 · city-ready,3 · city-ready,4 · city-ready,missing,1 · city-ready,2 · city-ready,ABS SA1 + SEIFA + AFRIP/state floods + BOM/CCiA; federated flood like CAN
CAN,Canada,A,86,4 · city-ready,2 · mixed,1 · city-ready,1 · city-ready,2 · city-ready,1 · city-ready,1 · needs downscaling (state),1 · city-ready,1 · mixed,3 · mixed,9 · mixed,1 · city-ready,1 · city-ready,1 · city-ready,4 · mixed,2 · mixed,12 · mixed,1 · city-ready,2 · city-ready,3 · city-ready,1 · needs downscaling (national),4 · mixed,5 · mixed,3 · city-ready,2 · city-ready,5 · city-ready,1 · city-ready,7 · city-ready,4 · city-ready,1 · facility,1 · facility,1 · facility,2 · city-ready,1 · facility,2 · city-ready,3 · city-ready,2 · city-ready,5 · city-ready,missing (proxies:1),1 · city-ready,1 · city-ready,StatCan DA + NRCan flood susceptibility + ClimateData.ca / CanCoast
CRI,Costa Rica,B,72,3 · city-ready,2 · needs downscaling (national),1 · mixed,1 · mixed,2 · city-ready,1 · city-ready,1 · facility,1 · mixed,2 · mixed,3 · mixed,8 · city-ready,1 · mixed,1 · city-ready,1 · city-ready,3 · city-ready,1 · facility,9 · city-ready,1 · city-ready,2 · mixed,3 · city-ready,1 · needs downscaling (national),4 · city-ready,5 · city-ready,2 · city-ready,2 · city-ready,5 · city-ready,1 · city-ready,6 · city-ready,2 · mixed,1 · facility,1 · facility,1 · facility,2 · city-ready,1 · facility,2 · mixed,3 · mixed,2 · city-ready,4 · city-ready,missing,1 · city-ready,2 · mixed,CNE/SNIT strong H + IMN; E/V coarser (distrito + cantonal IPM)
ARG,Argentina,B,68,3 · city-ready,2 · needs downscaling (state),1 · needs downscaling (state),1 · needs downscaling (state),2 · city-ready,1 · city-ready,1 · facility,1 · needs downscaling (state),2 · mixed,3 · mixed,8 · mixed,1 · needs downscaling (state),1 · city-ready,1 · city-ready,3 · city-ready,1 · facility,10 · mixed,1 · city-ready,2 · city-ready,3 · city-ready,1 · needs downscaling (national),4 · mixed,5 · mixed,2 · city-ready,2 · city-ready,5 · city-ready,1 · city-ready,6 · city-ready,2 · mixed,1 · facility,1 · facility,1 · facility,2 · city-ready,1 · facility,2 · mixed,2 · city-ready,2 · city-ready,4 · city-ready,missing,1 · city-ready,2 · city-ready,INDEC radio + NBI solid; federated flood — OEF/JRC heavier outside AMBA
MAR,Morocco,C,52,5 · mixed,2 · needs downscaling (national),2 · mixed,4 · mixed,2 · facility,1 · city-ready,missing,1 · facility,2 · needs downscaling (national),2 · mixed,11 · mixed,3 · mixed,2 · city-ready,1 · city-ready,4 · mixed,3 · mixed,13 · mixed,1 · city-ready,2 · city-ready,3 · city-ready,1 · needs downscaling (national),4 · city-ready,6 · city-ready,2 · city-ready,1 · city-ready,5 · city-ready,2 · city-ready,9 · mixed,3 · city-ready,1 · facility,1 · facility,1 · facility,2 · city-ready,2 · mixed,1 · city-ready,2 · city-ready,3 · mixed,5 · city-ready,missing (proxies:1),1 · city-ready,2 · mixed,HCP RGPH + ABH partial; more global/modeled + OEF dependence
ETH,Ethiopia,C,48,5 · mixed,2 · needs downscaling (state),1 · needs downscaling (state),3 · mixed,2 · facility,1 · city-ready,1 · needs downscaling (state),2 · mixed,1 · mixed,2 · needs downscaling (state),10 · mixed,1 · needs downscaling (state),2 · city-ready,1 · city-ready,5 · mixed,3 · mixed,11 · mixed,2 · mixed,3 · mixed,2 · mixed,1 · needs downscaling (national),5 · mixed,7 · mixed,3 · city-ready,1 · city-ready,5 · city-ready,2 · city-ready,9 · mixed,1 · facility,1 · facility,1 · facility,1 · facility,2 · city-ready,1 · facility,n/a (landlocked),2 · city-ready,2 · city-ready,5 · mixed,missing,1 · city-ready,2 · city-ready,ESS/COD-PS; landlocked SLR N/A; stronger AFOLU/global fills than city H/E/V
