iso3,country,mit_coverage_pct,mit_year_pct,mit_t1_pct,mit_t2_pct,mit_t3_pct,mit_t1_t2_pct,mit_city_ready_pct,mit_n_covered,mit_n_cells,mit_band,mit_approach,mit_qual_score,adp_coverage_pct,adp_year_pct,adp_t1_pct,adp_t2_pct,adp_t3_pct,adp_t1_t2_pct,adp_city_ready_pct,adp_n_covered,adp_n_cells,adp_band,adp_approach,adp_qual_score,program_approach,combined_score,delta,viable_ticket,viable_program_start,notes
ETH,Ethiopia,0.8696,0.78,1.0,0.0,0.0,1.0,0.7,20,23,Viable — scale-friendly,City-ready,45,0.9512,0.5385,0.5897,0.3077,0.1026,0.8974,0.8205,39,41,Viable — scale-friendly,City-ready,48,City-ready,46.5,3,1,1,Metrics derived from country 01_datasets CSVs per coverage_metrics_spec.md; year_pct is best-effort from temporal_coverage text.
CAN,Canada,0.9565,1.0,1.0,0.0,0.0,1.0,0.7273,22,23,Viable — scale-friendly,City-ready,86,1.0,0.3317,0.9268,0.0488,0.0244,0.9756,0.9268,41,41,Viable — extra work,Extra work,86,Extra work,86.0,0,1,1,Metrics derived from country 01_datasets CSVs per coverage_metrics_spec.md; year_pct is best-effort from temporal_coverage text.
PHL,Philippines,0.9565,0.7227,1.0,0.0,0.0,1.0,0.4091,22,23,Viable — scale-friendly,City-ready,60,1.0,0.3902,0.7561,0.1707,0.0732,0.9268,0.8537,41,41,Viable — extra work,Extra work,90,Extra work,75.0,30,1,1,Metrics derived from country 01_datasets CSVs per coverage_metrics_spec.md; year_pct is best-effort from temporal_coverage text.
MAR,Morocco,0.9565,0.8909,1.0,0.0,0.0,1.0,0.1364,22,23,Viable — scale-friendly,City-ready,50,0.9756,0.47,0.65,0.3,0.05,0.95,0.925,40,41,Viable — extra work,Extra work,52,Extra work,51.0,2,1,1,Metrics derived from country 01_datasets CSVs per coverage_metrics_spec.md; year_pct is best-effort from temporal_coverage text.
GBR,United Kingdom,0.9565,0.9636,1.0,0.0,0.0,1.0,0.9091,22,23,Viable — scale-friendly,City-ready,93,1.0,0.1951,0.9756,0.0,0.0244,0.9756,0.9512,41,41,Constrained — accept downscaling,Accept downscaling,94,Accept downscaling,93.5,1,1,1,Metrics derived from country 01_datasets CSVs per coverage_metrics_spec.md; year_pct is best-effort from temporal_coverage text.
AUS,Australia,0.9565,0.9591,1.0,0.0,0.0,1.0,0.5909,22,23,Viable — scale-friendly,City-ready,82,0.9756,0.29,0.975,0.0,0.025,0.975,0.975,40,41,Constrained — accept downscaling,Accept downscaling,88,Accept downscaling,85.0,6,1,1,Metrics derived from country 01_datasets CSVs per coverage_metrics_spec.md; year_pct is best-effort from temporal_coverage text.
MEX,Mexico,0.9565,0.9545,1.0,0.0,0.0,1.0,0.9091,22,23,Viable — scale-friendly,City-ready,64,0.9756,0.25,0.975,0.0,0.025,0.975,0.85,40,41,Constrained — accept downscaling,Accept downscaling,91,Accept downscaling,77.5,27,1,1,Metrics derived from country 01_datasets CSVs per coverage_metrics_spec.md; year_pct is best-effort from temporal_coverage text.
CRI,Costa Rica,0.913,0.9762,1.0,0.0,0.0,1.0,0.9048,21,23,Viable — scale-friendly,City-ready,74,0.9756,0.21,0.975,0.0,0.025,0.975,0.85,40,41,Constrained — accept downscaling,Accept downscaling,72,Accept downscaling,73.0,-2,1,1,Metrics derived from country 01_datasets CSVs per coverage_metrics_spec.md; year_pct is best-effort from temporal_coverage text.
ARG,Argentina,0.9565,0.9364,1.0,0.0,0.0,1.0,0.5455,22,23,Viable — scale-friendly,City-ready,68,0.9756,0.2225,0.975,0.0,0.025,0.975,0.85,40,41,Constrained — accept downscaling,Accept downscaling,68,Accept downscaling,68.0,0,1,1,Metrics derived from country 01_datasets CSVs per coverage_metrics_spec.md; year_pct is best-effort from temporal_coverage text.
